Ligand SMILES	Target Name	IC50 (nM)	PDB ID(s) of Target Chain
FC(F)(F)Oc1ccccc1CN1CCN(CC1)C(=O)c1ccc(nc1)-c1nc(no1)-c1ccc(cc1)C(F)(F)F	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
FC(F)(F)COc1ccccc1CN1CCN(CC1)C(=O)c1ccc(nc1)-c1nc(no1)-c1ccc(cc1)C(F)(F)F	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
Nc1ccc(CN2CCN(CC2)C(=O)c2ccc(nc2)-c2nc(no2)-c2ccc(cc2)C(F)(F)F)cc1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
FC(F)(F)CNc1ccc(CN2CCN(CC2)C(=O)c2ccc(nc2)-c2nc(no2)-c2ccc(cc2)C(F)(F)F)cc1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
Fc1cc(Br)cc(F)c1CN1CCN(CC1)C(=O)c1ccc(nc1)-c1nc(no1)-c1ccc(cc1)C(F)(F)F	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
FC(F)(F)COc1ccc(CN2CCN(CC2)C(=O)c2ccc(nc2)-c2nc(no2)-c2cccs2)cc1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
FC(F)(F)COc1ccc(CN2CCN(CC2)C(=O)c2ccc(nc2)-c2nc(no2)-c2cncs2)cc1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
FC(F)(F)COc1ccc(CN2CCN(CC2)C(=O)c2ccc(nc2)-c2nc(no2)-c2ncccn2)cc1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
FC(F)(F)COc1ccc(CN2CCN(CC2)C(=O)c2ccc(nc2)-c2nc(no2)-c2ccccc2)cc1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
FC(F)(F)COc1ccc(CN2CCN(CC2)C(=O)c2ccc(nc2)-c2nc(no2)-c2ccccc2C(F)(F)F)cc1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
Fc1ccccc1-c1noc(n1)-c1ccc(cn1)C(=O)N1CCN(Cc2ccc(OCC(F)(F)F)cc2)CC1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
CC(C)(C)c1ccc(cc1)-c1noc(n1)-c1ccc(cn1)C(=O)N1CCN(Cc2ccc(OCC(F)(F)F)cc2)CC1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
FC(F)(F)COc1ccc(CN2CCN(CC2)C(=O)c2ccc(nc2)-c2nc(no2)-c2ccc(cc2C(F)(F)F)C(F)(F)F)cc1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
FC(F)(F)COc1ccc(CN2CCN(CC2)C(=O)c2ncccc2-c2nc(no2)-c2ccc(cc2)C(F)(F)F)cc1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
FC(F)(F)COc1ccc(CN2CCN(CC2)C(=O)c2ccccc2-c2nc(no2)-c2ccc(cc2)C(F)(F)F)cc1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
FC(F)(F)COc1ccc(CN2CCN(CC2)C(=O)c2ncc(s2)-c2nc(no2)-c2ccc(cc2)C(F)(F)F)cc1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
Cn1c(cc2ccc(Oc3cnc(cn3)-c3nc(no3)-c3ccc(cc3)C(F)(F)F)cc12)C(=O)N1CCN(Cc2cccc(OCC(F)(F)F)c2)CC1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
Cn1c(cc2ccc(Oc3cnc(cn3)-c3nc(no3)-c3ccc(cc3)C(F)(F)F)cc12)C(=O)N1CCN(Cc2ccccc2OCC(F)(F)F)CC1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
Cn1c(cc2ccc(Oc3cnc(cn3)-c3nc(no3)-c3ccc(cc3)C(F)(F)F)cc12)C(=O)N1CCN(Cc2cccc(c2)C(F)(F)F)CC1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
Cc1cccc(CN2CCN(CC2)C(=O)c2cc3ccc(Oc4cnc(cn4)-c4nc(no4)-c4ccc(cc4)C(F)(F)F)cc3n2C)c1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
