Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain 1
C[C@@H]1COCCN1c1cc(nc(n1)-c1cc(Cl)nc2[nH]ccc12)[C@H]1CCCS1(=O)=O	ATR Interacting Protein	31	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=[S@](C)(=O)C2CC2)nc(c1)-c1ccnc2[nH]ccc12	ATR Interacting Protein	31	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-c1cccc2[nH]ncc12	ATR Interacting Protein	31	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=[S@](C)(=O)C2CC2)nc(n1)-c1cc(N)nc(Cl)c1	ATR Interacting Protein	31	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2ccncc2F)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	31.7	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2ccncc2F)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	31.7	US Patent	5YZ0
CS(=O)(=O)N1CCN(CC1)c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	31.8	US Patent	5YZ0
CS(=O)(=O)N1CCN(CC1)c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	31.8	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(C2=CCNCC2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	32	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(C2=CCNCC2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	32	US Patent	5YZ0
COc1ncccc1-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOC[C@H]1C	ATR Interacting Protein	32.4	US Patent	5YZ0
COc1ncccc1-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOC[C@H]1C	ATR Interacting Protein	32.4	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(c2ccnc(-c3ccn[nH]3)c2n1)C(C)(C)O	ATR Interacting Protein	32.6	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(c2ccnc(-c3ccn[nH]3)c2n1)C(C)(C)O	ATR Interacting Protein	32.6	US Patent	5YZ0
CC1CCN(CC1)c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	32.7	US Patent	5YZ0
CC1CCN(CC1)c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	32.7	US Patent	5YZ0
COCc1noc(C)c1-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOC[C@H]1C	ATR Interacting Protein	32.9	US Patent	5YZ0
COCc1noc(C)c1-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOC[C@H]1C	ATR Interacting Protein	32.9	US Patent	5YZ0
Fc1ccc(c(F)c1)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	33.5	US Patent	5YZ0
Fc1ccc(c(F)c1)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	33.5	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2cnn(c2)C2CCC2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	33.7	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2ncco2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	33.7	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(c2ccnc(-c3ccn[nH]3)c2n1)C(C)(O)C(C)(C)C	ATR Interacting Protein	33.7	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2cnn(c2)C2CCC2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	33.7	US Patent	5YZ0
