Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain	UniProt (TrEMBL) Primary ID of Target Chain	UniProt (TrEMBL) Secondary ID(s) of Target Chain	UniProt (TrEMBL) Alternative ID(s) of Target Chain
CC(C)(OCCN1CCOCC1)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1	Colony Stimulating?Factor?1	1.9	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CC(C)(O)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1	Colony Stimulating?Factor?1	1.9	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CC1(C)CCC(=CC1)c1cc(ccc1NC(=O)c1ncc([nH]1)C#N)S(N)(=O)=O	Colony Stimulating?Factor?1	1.9	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CN1CC(CN(C)C1=NS(C)(=O)=O)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1	Colony Stimulating?Factor?1	1.9	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CCNCCC(=O)Nc1c(C)[nH]c(\C=C2/C(=O)Nc3cc(NC(=O)Nc4cc(on4)C(C)(C)C)ccc23)c1C	Colony Stimulating?Factor?1	1.9	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CN1CCN(CC1)c1ccc(NC(=O)c2cc(c[nH]2)C#N)c(c1)N1CCCCC1	Colony Stimulating?Factor?1	2	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
C[C@H](Nc1cncc(Cl)n1)c1cccc(NC(=O)c2cccc(C)c2)c1 |r|	Colony Stimulating?Factor?1	2	Curated from the literature by BindingDB	"4LIQ,6T2W,4DKD"			
C[C@H](Nc1cncc(Cl)n1)c1cccc(NC(=O)c2cc(C)ccc2F)c1 |r|	Colony Stimulating?Factor?1	2	Curated from the literature by BindingDB	"4LIQ,6T2W,4DKD"			
CC1(C)CCC(=CC1)c1cc(ccc1NC(=O)c1ncc([nH]1)C#N)C1CC(C)(C)S(=O)(=O)C(C)(C)C1 |c:5|	Colony Stimulating?Factor?1	2	US Patent	4EXP			
"COC[C@@]12CC[C@@](COC)(C[C@@H](C1)c1ccc(NC(=O)c3ncc([nH]3)C#N)c(c1)C1=CCC(C)(C)CC1)O2 |r,t:32|"	Colony Stimulating?Factor?1	2	US Patent	4EXP			
